id,herbal_id,pemerian_farmakognosi,mikroskopik_farmakognosi,mekanisme_aksi,farmakokinetik,toksikologi,interaksi_obat_umum
1,1,"Bau aromatik khas, rasa tajam dan pahit. Keping tipis, bentuk bundar atau jorong, ringan, keras, rapuh.","Terdapat butir pati, sel sekretori berisi minyak atsiri (kuning), dan berkas pengangkut tipe kolateral.","Hepatoprotektor: Xanthorrhizol mencegah hepatotoksisitas induksi cisplatin melalui inhibisi p53-dependent apoptosis. Antiinflamasi: Menghambat ekspresi COX-2, iNOS, dan sitokin pro-inflamasi (TNF-α, IL-1β, IL-6) via jalur NF-κB.",Bioavailabilitas kurkuminoid rendah karena metabolisme lintas pertama (first-pass metabolism) yang cepat di hati dan dinding usus.,LD50 oral (tikus) > 5000 mg/kg. Studi subkronis 90 hari tidak menunjukkan kelainan hematologi signifikan.,Sinergis dengan obat kemoterapi (meningkatkan efikasi). Antagonis potensial dengan obat antiplatelet (risiko pendarahan).
2,2,"Bau khas aromatik, rasa agak pahit, agak pedas. Warna kuning jingga hingga coklat kemerahan.","Amilum (pati) bentuk lonjong/kominual, sel parenkim berisi kurkumin (kuning), rambut penutup jarang.","Gastroprotektif: Meningkatkan sekresi mukus lambung dan menghambat H. pylori. Anti-Arthritis: Menghambat degradasi matriks ekstraseluler sendi. Antikanker: Modulasi jalur sinyal seluler (mTOR, STAT3).",Curcumin memiliki kelarutan air yang buruk. Formulasi nano atau kombinasi dengan Piperine (Bioenhancer) meningkatkan AUC serum hingga 2000%.,GRAS (Generally Recognized As Safe) oleh FDA. Dosis tinggi (>8g/hari) dapat menyebabkan diare dan ruam.,"Antiplatelet (Clopidogrel, Aspirin) - risiko pendarahan. Antidiabetes (Sulfonilurea) - risiko hipoglikemia."
3,3,"Bau aromatik, rasa pedas. Bentuk rimpang agak pipih, bagian ujung bercabang, warna putih kekuningan, berserat.","Pati tunggal berbentuk bulat telur pipih, serabut sklerenkim, sel minyak (oleoresin).",Antiemetik: Antagonis reseptor serotonin 5-HT3 dan NK1 di sistem saraf pusat dan perifer (lambung). Analgesik: Inhibisi biosintesis prostaglandin dan leukotrien (dual inhibitor COX/LOX).,"6-Gingerol diserap cepat secara oral, dimetabolisme menjadi glucuronide conjugates, diekskresikan via urin.",Dosis >6g dapat menyebabkan erosi lambung. Aman pada kehamilan (FDA Category B - tapi tetap perlu konsultasi).,"Warfarin (peningkatan INR), Calcium Channel Blockers (potensi hipotensi aditif)."
4,4,"Bau khas aromatik, rasa pedas, hangat, agak pahit. Kepingan pipih, bentuk hampir bundar, warna putih kecoklatan.","Amilum tunggal, sel minyak (sekresi) berwarna kuning, pembuluh kayu dengan penebalan tangga/spiral.",Sedatif & Analgesik: Ethyl p-methoxycinnamate (EPMS) menghambat siklooksigenase (COX) dan memiliki efek sedatif non-opioid pada sistem saraf pusat. Ekspektoran: Minyak atsiri menstimulasi mukosa saluran napas.,EPMS cepat diabsorpsi dan didistribusikan ke jaringan kaya lipid. Dimetabolisme menjadi asam p-metoksisinamat.,Aman pada dosis terapeutik. LD50 ekstrak etanolik > 5000 mg/kg (tikus).,Potensiasi efek obat sedatif/hipnotik (seperti Benzodiazepin) karena efek depresan SSP.
5,5,"Bau aromatik, rasa pedas. Potongan panjang atau tidak beraturan, serat kasar, warna coklat kemerahan.","Banyak sel minyak, butir pati besar berbentuk lonjong, serabut sklerenkim tebal.",Antifungi: 1'-Acetoxychavicol acetate (ACA) menghambat biosintesis ergosterol pada membran sel Candida albicans. Antitumor: ACA menghambat jalur NF-κB dan menginduksi apoptosis.,"Absorpsi oral cepat, namun bioavailabilitas ACA terbatas karena hidrolisis esterase di plasma.",Aman (GRAS). Uji toksisitas akut tidak menunjukkan kematian hingga dosis 3000 mg/kg.,Dapat berinteraksi dengan obat antasida (pH dependent absorption) dan obat kemoterapi (sinergisme).
6,6,"Batang tidak berbulu, daun lanset, rasa sangat pahit dan persisten. Serbuk berwarna hijau kelabu.","Sistolit (kristal kalsium karbonat) bentuk ginjal pada sel epidermis, stomata tipe diasitik.",Imunomodulator: Meningkatkan proliferasi limfosit dan fagositosis makrofag. Antivirus: Menghambat replikasi virus (termasuk Influenza). Antidiabetes: Meningkatkan uptake glukosa via GLUT4.,"Andrographolide memiliki waktu paruh (t1/2) singkat (sekitar 2 jam), eliminasi cepat, memerlukan dosis berulang.","Kategori Kehamilan FDA: X (Kontraindikasi - Abortivum). Dosis tinggi menyebabkan gangguan GI (mual, muntah).",Sinergis dengan Isoniazid. Antagonis dengan obat Imunosupresan. Aditif dengan obat Antihipertensi dan Antikoagulan.
7,7,"Batang bulat licin, daun majemuk menyirip genap, buah kotak bulat di ketiak daun. Rasa pahit.","Stomata tipe parasitik, kristal kalsium oksalat bentuk roset (drus) pada mesofil.","Lithotriptic: Mengganggu kristalisasi kalsium oksalat, mengurangi agregasi kristal, dan merelaksasi ureter (memudahkan keluarnya batu). Hepatoprotektif: Menghambat DNA polimerase HBV dan aktivitas reverse transcriptase.",Phyllanthin dimetabolisme cepat di hati.,Dosis tinggi jangka panjang dapat menyebabkan atrofi testis (pada hewan). Menyebabkan hipotensi dan hipoglikemia.,Sinergis dengan obat Diabetes (risiko hipoglikemia). Berinteraksi dengan Lithium dan Diuretik.
8,8,"Daun rapuh, bentuk belah ketupat/bulat telur, tepi bergerigi, rasa agak pahit dan asin (karena mineral).","Rambut penutup multiseluler, rambut kelenjar tipe Lamiaceae (kepala 4-8 sel), stomata diasitik.","Diuretik: Flavonoid (Sinensetin) berikatan dengan reseptor Adenosin A1, meningkatkan aliran darah ginjal dan laju filtrasi glomerulus (GFR). Kandungan Kalium tinggi memberikan efek diuretik osmotik.",Metabolit flavonoid terkonjugasi diekskresikan melalui urin dalam 24 jam.,Aman pada penggunaan tradisional. Tidak ada tanda toksisitas pada uji subkronis (tikus).,Aditif dengan Furosemide dan Thiazide. Berbahaya jika dikombinasikan dengan K-sparing diuretics (Spironolactone) karena risiko Hiperkalemia.
9,9,"Helai daun berbentuk ginjal atau kipas, tepi bergerigi tumpul. Bau lemah, rasa agak pahit dan dingin.","Stomata tipe parasitik, rambut penutup multiseluler, sel epidermis dengan kristal kalsium oksalat roset.",Wound Healing: Asiaticoside menstimulasi sintesis kolagen tipe I dan III serta fibronektin pada fibroblas kulit. Neuroprotektif: Mengurangi stres oksidatif mitokondria di hipokampus dan meningkatkan arborisasi dendritik.,Asiaticoside dihidrolisis oleh beta-glukosidase bakteri usus menjadi asiatic acid (metabolit aktif) sebelum diabsorpsi.,Jarang toksik. Kontak dermatitis alergi pada penggunaan topikal. Hepatotoksisitas sangat jarang dilaporkan.,"Aditif dengan obat sedatif (Benzodiazepin, Barbiturat). Antagonis efektivitas obat antidiabetes tertentu."
10,10,"Daun tunggal, bertangkai pendek, helai daun bulat telur/lonjong, permukaan atas agak licin, bawah berbulu halus. Bau khas aromatik.","Kelenjar minyak lisigen (besar), rambut penutup uniseluler dinding tebal, kristal kalsium oksalat bentuk drus.","Antidiare: Quercetin menghambat pelepasan asetilkolin di saluran cerna (efek spasmolitik) dan memblok kanal kalsium, mengurangi peristaltik. Anti-Dengue: Menghambat enzim serin protease virus Dengue.","Quercetin diabsorpsi di usus halus (30-50%), waktu paruh eliminasi panjang (20-72 jam).",LD50 > 5000 mg/kg (Praktis tidak toksik).,Kandungan tanin tinggi dapat menghambat absorpsi obat oral lain (kelat). Beri jeda 2 jam.
11,11,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Scopoletin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
12,12,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Phalerin menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: KONTRAINDIKASI.,Potensi interaksi dengan obat metabolisme hati.
13,13,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Chavicol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: AMAN (Luar).,Potensi interaksi dengan obat metabolisme hati.
14,14,Organoleptik khas.,Fragmen pengenal spesifik.,Senyawa marker Eugenol menunjukkan aktivitas biologis spesifik.,-,Perhatian khusus pada kondisi: WASPADA.,Potensi interaksi dengan obat metabolisme hati.
