id,herbal_id,nama_obat,tipe_interaksi,efek,mekanisme
73,1,Warfarin / Heparin,Farmakodinamik,Risiko pendarahan meningkat.,Efek antiplatelet alami dari xanthorrhizol dapat memperpanjang waktu pembekuan darah secara aditif.
74,2,Aspirin / Clopidogrel,Farmakodinamik,Peningkatan risiko pendarahan lambung dan sistemik.,Curcumin secara poten menghambat agregasi trombosit.
75,2,Sulfonilurea (Obat Diabetes),Farmakodinamik,Risiko hipoglikemia (gula darah drop).,Efek aditif karena curcumin juga menurunkan glukosa darah.
76,3,Warfarin,Farmakodinamik,Peningkatan nilai INR (International Normalized Ratio).,Gingerol memiliki aktivitas penghambatan enzim tromboksan sintase.
77,3,Calcium Channel Blockers (Amlodipine),Farmakodinamik,Potensi hipotensi aditif.,Jahe memiliki efek relaksasi pembuluh darah secara alami.
78,4,Benzodiazepin (Obat Penenang),Farmakodinamik,Peningkatan efek sedasi dan kantuk berlebih.,EPMS pada kencur memiliki efek depresan ringan pada Sistem Saraf Pusat.
79,5,Antasida,Farmakokinetik,Absorpsi senyawa aktif berubah.,Perubahan pH lambung akibat antasida memengaruhi kelarutan ekstrak lengkuas.
80,6,Obat Antihipertensi,Farmakodinamik,Risiko hipotensi (tekanan darah terlalu rendah).,Sambiloto memiliki efek relaksasi otot polos pembuluh darah.
81,6,Imunosupresan,Farmakodinamik,Penurunan efektivitas obat imunosupresan.,Sambiloto adalah imunostimulan kuat yang berlawanan dengan fungsi obat imunosupresan.
82,7,Obat Diabetes (Metformin / Glimepiride),Farmakodinamik,Risiko hipoglikemia.,Meniran mengoptimalkan penggunaan glukosa perifer.
83,7,Lithium,Farmakokinetik,Toksisitas Lithium meningkat.,Efek diuretik meniran mengganggu ekskresi lithium dari ginjal.
84,8,Furosemide / Thiazide,Farmakodinamik,Dehidrasi dan ketidakseimbangan elektrolit.,Efek diuretik aditif yang menyebabkan pengeluaran cairan berlebih.
85,8,Spironolactone (Diuretik Hemat Kalium),Farmakodinamik,Risiko Hiperkalemia fatal.,"Kumis kucing sangat tinggi kalium, digabung dengan obat ini menyebabkan penumpukan kalium di jantung."
86,9,Sedatif / Benzodiazepin,Farmakodinamik,Peningkatan efek kantuk (sedasi sentral).,Senyawa triterpenoid pegagan memodulasi neurotransmitter yang memicu relaksasi.
87,10,Semua Obat Oral,Farmakokinetik,Penurunan absorpsi obat ke dalam darah.,"Kandungan tanin tinggi membentuk senyawa kompleks (kelat) dengan obat-obatan, menghalangi penyerapan di usus."
88,11,ACE Inhibitor / ARB,Farmakodinamik,Risiko Hiperkalemia.,"Mengkudu kaya akan kalium, berisiko penumpukan jika ginjal dipengaruhi obat tersebut."
89,11,Warfarin,Farmakodinamik,Penurunan efektivitas pengencer darah.,Mengkudu kaya akan Vitamin K yang mengantagonis efek Warfarin.
90,12,Oksitosin,Farmakodinamik,Kontraksi rahim berlebihan.,Efek uterotonik mahkota dewa bersinergi dengan obat pemacu persalinan.
91,13,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
92,14,Obat Antidiabetes,Farmakodinamik,Risiko Hipoglikemia.,Sirih merah secara kuat menghambat enzim alfa-glukosidase.
93,15,NSAID / Analgesik,Farmakodinamik,Peningkatan risiko iritasi lambung.,Minyak atsiri daun salam ditambah NSAID meningkatkan keasaman lambung.
94,16,Levothyroxine,Farmakokinetik,Penurunan efektivitas obat tiroid.,Komponen seledri dapat mengganggu penyerapan hormon tiroid sintetik.
95,17,Warfarin,Farmakodinamik,Pendarahan hebat (Peningkatan INR kritis).,Bawang putih adalah antiplatelet alami yang sangat kuat.
96,17,Saquinavir (Obat HIV),Farmakokinetik,Kegagalan terapi ARV.,Menurunkan konsentrasi saquinavir dalam plasma darah hingga 50% akibat induksi enzim CYP450.
97,18,Statin / Parasetamol,Farmakodinamik,Risiko Hepatotoksisitas (Kerusakan Hati).,Coumarin pada kayu manis tipe Cassia dapat membebani enzim hati jika digabung obat hepatotoksik.
98,19,Digoxin,Farmakokinetik / Toksisitas,Aritmia Jantung (Keracunan Digoxin).,"Laksatif dari lateks lidah buaya menyebabkan hilangnya kalium (hipokalemia), yang secara dramatis meningkatkan sensitivitas jantung terhadap digoxin."
99,19,Kortikosteroid Topikal,Farmakokinetik,Peningkatan penetrasi steroid.,Gel lidah buaya meningkatkan absorpsi obat kulit ke pembuluh darah sistemik.
100,20,Obat Antidiabetes,Farmakodinamik,Hipoglikemia ekstrem.,Stimulasi pelepasan insulin dari sel beta pankreas secara masif.
101,21,Sulfonilurea,Farmakodinamik,Risiko Hipoglikemia.,Pare memiliki senyawa p-insulin yang secara struktural dan fungsional meniru kerja insulin manusia.
102,22,Acetaminophen (Parasetamol),Farmakokinetik,Penurunan efektivitas pereda nyeri.,Rosella mempercepat laju eliminasi parasetamol dari dalam tubuh.
103,22,Klorokuin,Farmakokinetik,Kegagalan terapi malaria.,Mengurangi bioavailabilitas klorokuin dalam saluran cerna.
104,23,Levothyroxine,Farmakokinetik,Penyerapan obat terganggu.,Kalsium dan fitat yang sangat tinggi pada kelor dapat mengkelat obat tiroid.
105,24,Diuretik Loop (Furosemide),Farmakodinamik,Dehidrasi dan ketidakseimbangan elektrolit.,Efek diuretik aditif.
106,25,Spironolakton,Farmakodinamik,Risiko Hiperkalemia.,"Kandungan kalium pada daun ini sangat tinggi, menumpuk jika dipakai bersama diuretik hemat kalium."
107,26,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
108,27,Beta-blocker / Antihipertensi,Farmakodinamik,Risiko hipotensi berlebih.,Thymoquinone bekerja sebagai vasodilator relaksan.
109,28,Propranolol,Farmakokinetik,Penurunan kadar obat dalam darah.,Ekstrak Pasak Bumi menurunkan penyerapan propranolol secara signifikan dalam uji klinis.
110,29,Terapi Pengganti Testosteron,Farmakodinamik,"Kelebihan kadar androgen (agresi, jerawat, prostat).",Stimulasi sintesis androgen intrinsik bertumpuk dengan asupan eksogen.
111,30,Kemoterapi Berbasis Oksidasi (Alkylating agents),Farmakodinamik,Penurunan efektivitas kemoterapi.,Sifat antioksidan ekstrim dari xanthone manggis dapat menetralkan radikal bebas yang sengaja dibuat oleh obat kemo untuk membunuh sel kanker.
112,31,MAO Inhibitor / Antidepresan,Farmakodinamik,Risiko interaksi persarafan.,Dapat memperkuat efek depresan sistem saraf pusat.
113,32,Kemoterapi Konvensional,Farmakodinamik,Belum dapat diprediksi secara klinis.,"Sifat sitotoksiknya kuat, penggunaannya bersama kemoterapi memerlukan pengawasan onkolog ketat."
114,33,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
115,34,NSAID,Farmakodinamik,Peningkatan risiko ulkus lambung.,Komponen napthoquinone berpotensi mengiritasi dinding lambung.
116,35,Imunosupresan,Farmakodinamik,Menggagalkan fungsi obat.,Physalin merupakan imunomodulator yang dapat melawan efek supresi sistem imun buatan medis.
117,36,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
118,37,Sedatif (Pil Tidur),Farmakodinamik,Memperpanjang waktu tidur (sedasi berlebih).,Citral memodulasi SSP menyebabkan efek sedatif.
119,38,Antikoagulan / Warfarin,Farmakodinamik,Risiko pendarahan.,Eugenol menghambat jalur agregasi platelet secara signifikan.
120,39,Benzodiazepin / Barbiturat,Farmakodinamik,Depresi Sistem Saraf Pusat (Letargi).,"Myristicin mempotensiasi efek obat penenang, dapat menyebabkan pasien sulit dibangunkan."
121,40,Obat Transdermal (Koyo Medis),Farmakokinetik,Peningkatan penetrasi obat ke dalam darah.,"Minyak atsiri kapulaga (1,8-cineole) bertindak sebagai agen penembus (enhancer) yang kuat untuk menembus kulit."
122,41,Obat Antidiabetes,Farmakodinamik,Risiko glukosa darah di bawah normal.,Efek insulin-releasing merangsang pelepasan insulin tambahan.
123,42,"Fenitoin, Rifampisin, Theophylline",Farmakokinetik (MAJOR),Peningkatan drastis kadar obat dalam darah hingga level beracun (TOKSIK).,"Piperine menghambat secara kuat enzim CYP3A4 dan P-glycoprotein, menghentikan tubuh dari menghancurkan atau membuang obat-obatan tersebut."
124,43,Antasida,Farmakokinetik,Saling menetralisir.,Asam sitrat menetralkan sifat basa dari antasida.
125,44,Aminoglikosida / NSAID Dosis Tinggi,Farmakodinamik,Risiko Gagal Ginjal Akut tinggi.,"Asam oksalat menumpuk menjadi kristal kalsium oksalat di tubulus ginjal, ditambah obat nefrotoksik akan memperparah kerusakan nefron."
126,45,Aspirin / Ibuprofen,Farmakokinetik,Peningkatan kadar obat dalam darah.,Suasana asam lambung yang diperkuat oleh asam jawa meningkatkan absorpsi asam salisilat (aspirin).
127,46,Semua Obat Oral,Farmakokinetik,Penyerapan obat gagal.,Kandungan astringen (tanin) melapisi dinding usus sehingga mencegah penyerapan obat kimia. Beri jeda minimal 2 jam.
128,47,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
129,48,NSAID Oral,Farmakodinamik,Risiko Iritasi Lambung.,Efek analgesik COX-2 inhibitor alami dapat menambah beban lambung jika digabung NSAID konvensional.
130,49,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
131,50,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
132,51,Warfarin,Farmakodinamik,Pendarahan sulit berhenti.,Senyawa kurkuminoid menghambat agregasi platelet secara parsial.
133,52,Aspirin / Clopidogrel / Warfarin,Farmakodinamik (MAJOR),Pendarahan Spontan Berbahaya.,Daun Dewa adalah antikoagulan dan fibrinolitik kuat. Dilarang digabungkan dengan pengencer darah resep dokter.
134,53,Captopril / Amlodipine,Farmakodinamik,Hipotensi (tekanan darah anjlok).,Meningkatkan efek relaksasi pembuluh darah dan inhibisi ACE.
135,54,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
136,55,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
137,56,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
138,57,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
139,58,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
140,59,Obat Jantung (Simpatomimetik),Farmakodinamik,Aritmia dan Takikardia (Jantung berdebar cepat).,Sidaguri mengandung alkaloid efedrin yang menstimulasi reseptor beta adrenergik jantung.
141,59,MAO Inhibitor,Farmakodinamik,Krisis Hipertensi.,Penumpukan neurotransmitter stimulansia.
142,60,Kemoterapi,Farmakodinamik,Perubahan efek sitotoksik dan penekanan sumsum tulang.,Herba ini menghambat proliferasi sel dan angiogenesis; wajib konsultasi onkolog.
143,61,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
144,62,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
145,63,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
146,64,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
147,65,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
148,66,Kortikosteroid,Farmakodinamik,Retensi cairan dan Hipertensi.,Glycyrrhizin dalam daun saga memperpanjang waktu paruh kortisol dalam ginjal.
149,67,Antikoagulan,Farmakodinamik,Peningkatan sedikit waktu pendarahan.,Kandungan kumarin memiliki efek pelebaran pembuluh darah ringan.
150,68,Antibiotik Oral,Farmakokinetik,Obat tidak terserap (Gagal Terapi).,Tingkat tanin yang sangat tinggi mengkelat molekul obat sebelum sempat diserap usus.
151,69,Suplemen Zat Besi (Fe),Farmakokinetik,Defisiensi Besi (Anemia memburuk).,Asam tanat dan galat pada majakani mengikat ion besi menjadi senyawa kompleks yang tidak larut dan dibuang lewat feses.
152,70,Antikolinergik (Atropine),Farmakodinamik,Saling membatalkan efek.,"Arecoline adalah parasimpatomimetik, bekerja berlawanan langsung dengan antikolinergik."
153,70,Salbutamol (Obat Asma),Farmakodinamik,Bronkospasme (Asma memberat).,"Aktivitas muskarinik dari pinang menyempitkan saluran napas, melawan kerja salbutamol."
