id,herbal_id,senyawa_marker,golongan,nama_senyawa_3d,rumus_molekul,berat_molekul,link_jsmol,catatan_jsmol
1,1,Xanthorrhizol,Sesquiterpenoid,Xanthorrhizol,C15H22O,218.33 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1=C(C=C(C=C1)O)C(C)CCC=C(C)C&width=100%&height=400px,Link di atas merender struktur Xanthorrhizol menggunakan SMILES string.
2,2,Curcumin,Diarylheptanoid,Curcumin,C21H20O6,368.38 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=curcumin&width=100%&height=400px,Struktur 3D menunjukkan bentuk keto-enol tautomer dari Curcumin.
3,3,6-Gingerol,Phenolic Ketone,6-Gingerol,C17H26O4,294.39 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=6-gingerol&width=100%&height=400px,Struktur rantai panjang memberikan sifat lipofilik.
4,4,Ethyl p-methoxycinnamate (EPMS),Phenylpropanoid,Ethyl p-methoxycinnamate,C12H14O3,206.24 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC(=O)/C=C/C1=CC=C(OC)C=C1&width=100%&height=400px,EPMS adalah senyawa kristal utama yang sering mengkristal di permukaan rimpang kering.
5,5,Galangin,Flavonol,Galangin,C15H10O5,270.24 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O&width=100%&height=400px,Galangin adalah flavonol tanpa gugus hidroksil pada cincin B.
6,6,Andrographolide,Diterpenoid Labdane,Andrographolide,C20H30O5,350.45 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=C%5BC%40%40H%5D1%5BC%40H%5D%28CCC2%3DCCC%28C%5BC%40%40H%5D12%29O%29C%28%3DC%29CCC3%3DC%28COC3%3DO%29O&width=100%&height=400px,Struktur lakton diterpen dengan rasa pahit yang ekstrem.
7,7,Phyllanthin,Lignan,Phyllanthin,C24H34O6,418.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=C(C=C1)CC(C2=CC(=C(C(=C2)OC)OC)OC)COC)OC&width=100%&height=400px,Struktur lignan yang bertanggung bertanggung jawab atas efek hepatoprotektif.
8,8,Sinensetin,Polymethoxylated Flavone,Sinensetin,C20H20O7,372.37 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3OC)OC)OC)OC&width=100%&height=400px,Flavon lipofilik dengan 5 gugus metoksi.
9,9,Asiaticoside,Triterpenoid Saponin,Asiaticoside,C48H78O19,959.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=CC1CCC2%28CCC3%28C%28C3CC2%28C1%29C%29%3DCCC4C5%28CCC%28C%28C5CCC4%28C3%29C%29%28C%29CO%29O%29C%29C%28%3DO%29OC6C%28C%28C%28C%28O6%29CO%29O%29O%29OC7C%28C%28C%28C%28O7%29CO%29O%29O%29OC8C%28C%28C%28O8%29C%29O%29O&width=100%&height=400px,Molekul besar glikosida triterpen yang kompleks.
10,10,Quercetin,Flavonoid Glycoside,Quercetin,C15H10O7,302.24 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=C1%3CC%28%3DC%28C%28%3DC1O%29O%29O%29OC2%3CC%28%3DC%28C3%3CC%28%3DC2%29O%29O%29O%29C4%3CC%28%3DC%28C%3DC4%29O%29O&width=100%&height=400px,Flavonol antioksidan kuat yang ditemukan di banyak tanaman.
